Title,Duration,Artist,Album,Scrobles,Year,Added_Date,Genre,Released_Date
Тюльпан,3:00,Рем Дигга,Тюльпан,,2018,15.12.2018 16:11,Хип-хоп/рэп,14.12.2018
Когда цветёт абрикос,3:52,Рем Дигга,Тюльпан,,2018,15.12.2018 16:09,Хип-хоп/рэп,14.12.2018
Танцы на краю,2:52,Рем Дигга,Тюльпан,,2018,15.12.2018 16:05,Хип-хоп/рэп,14.12.2018
Pretty Little Fears (feat. J. Cole),4:00,6LACK,East Atlanta Love Letter,,2018,13.12.2018 23:14,R&B/Soul,14.09.2018
Yeah Right,2:54,Joji,Yeah Right - Single,1,2018,13.12.2018 23:09,R&B и соул,07.05.2018
I Like It,4:13,"Cardi B, Bad Bunny & J Balvin",Invasion of Privacy,,2018,13.12.2018 22:48,Hip-Hop/Rap,06.04.2018
Under the Weather,4:21,Mac Miller,Blue Slide Park,2,2011,12.12.2018 9:57,Хип-хоп/рэп,08.11.2011
Party On Fifth Ave.,2:54,Mac Miller,Blue Slide Park,,2011,12.12.2018 9:46,Хип-хоп/рэп,28.10.2011
Good Night (feat. Twelve'len & Nell),3:56,Denzel Curry,Imperial,2,2016,08.12.2018 17:15,Хип-хоп/рэп,09.03.2016
Story: No Title,2:49,Denzel Curry,Imperial,2,2016,08.12.2018 17:12,Хип-хоп/рэп,09.03.2016
Zenith (feat. Joey Bada$$),4:03,Denzel Curry,Imperial,,2016,08.12.2018 17:04,Хип-хоп/рэп,09.03.2016
Kill Us All (feat. Denzel Curry),2:42,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,3,2018,08.12.2018 16:58,Альтернативная музыка,21.09.2018
Me Now,4:39,Denzel Curry,Imperial,,2016,08.12.2018 16:53,Хип-хоп/рэп,09.03.2016
Bloodshed,3:21,Denzel Curry,13 - EP,1,2017,08.12.2018 16:46,Хип-хоп/рэп,26.06.2017
"STRUGGLES (feat. Idan, Oxxxymiron & MARKUL)",4:00,Porchy,THE FALL,,2019,07.12.2018 12:10,Хип-хоп/рэп,11.01.2019
ULT,4:07,Denzel Curry,Imperial,3,2016,06.12.2018 15:58,Хип-хоп/рэп,21.02.2016
G**k,2:47,Denzel Curry,Imperial,1,2016,06.12.2018 15:50,Хип-хоп/рэп,09.03.2016
Ultimate,3:10,Denzel Curry,Ultimate - Single,15,2015,06.12.2018 15:45,Хип-хоп/рэп,09.06.2015
Missed Calls,2:59,Mac Miller,Blue Slide Park,7,2011,03.12.2018 23:03,Хип-хоп/рэп,08.11.2011
Time Is On My Side,2:53,Irma Thomas,Wish Someone Would Care,3,1964,03.12.2018 3:29,R&B и соул,01.01.1964
Straight from the Heart,2:28,Irma Thomas,Wish Someone Would Care,4,1964,03.12.2018 3:27,R&B и соул,01.01.1964
Anyone Who Knows What Love Is (Will Understand),2:56,Irma Thomas,Take a Look,2,1968,03.12.2018 3:23,Поп-музыка,01.01.1968
Pretty Wasted,3:54,Tito & Tarantula,Océane (Bande originale du film de Philippe Appietto et Nathalie Sauvegrain),3,2012,02.12.2018 11:00,Фолк-рок,07.07.2012
Angry Cockroaches,4:40,Tito & Tarantula,Tarantism (Remastered),,1997,02.12.2018 10:37,Рок,28.10.1997
Бэйби,3:43,Вандер Фил,Бэйби - Single,20,2018,30.11.2018 15:24,Хип-хоп/рэп,30.11.2018
For You To Be Here,2:48,Tom Rosenthal,"The Pleasant Trees, Vol. 2 - EP",3,2015,28.11.2018 23:36,Авторы-исполнители,25.12.2015
"Piano Concerto No. 3 in C, Op. 26: II. Tema con variazione",8:42,"Evgeny Kissin, Берлинский филармонический оркестр & Claudio Abbado",Prokofiev: Piano Concertos No. 1 & 3,1,1994,28.11.2018 0:53,Классическая музыка,01.01.1994
"Piano Concerto No. 3 in C, Op. 26: I. Andante - Allegro",9:26,"Evgeny Kissin, Берлинский филармонический оркестр & Claudio Abbado",Prokofiev: Piano Concertos No. 1 & 3,1,1994,28.11.2018 0:51,Классическая музыка,01.01.1994
Freedom,5:10,Charles Mingus,Portrait,2,1963,27.11.2018 21:54,Джаз,01.01.1963
Недолж,8:14,ГШ,Польза,1,2018,27.11.2018 19:14,Рок,27.11.2018
Только для вас,5:42,ГШ,Польза,1,2018,27.11.2018 18:51,Рок,27.11.2018
Старые шрамы,3:39,Noize MC,Hard Reboot 3.0,,2015,27.11.2018 16:47,Hip-Hop/Rap,20.03.2015
Говорящие головы,4:31,Noize MC,Hard Reboot 3.0,,2015,27.11.2018 16:34,Хип-хоп/рэп,20.03.2015
Сгораю,3:53,Noize MC,Hard Reboot 3.0,1,2015,27.11.2018 16:33,Хип-хоп/рэп,20.03.2015
Ne2da? (feat. Mewark),4:58,Noize MC,Hard Reboot 3.0,1,2015,27.11.2018 16:16,Хип-хоп/рэп,20.03.2015
"Сохрани мою речь (Из к/ф ""Сохрани мою речь навсегда"")",4:10,Noize MC,Hard Reboot 3.0,,2015,27.11.2018 16:05,Хип-хоп/рэп,20.03.2015
"Requiem in D Minor, K. 626: I. Introitus. Requiem",4:38,"MusicAeterna, The New Siberian Singers, Teodor Currentzis & Simone Kermes","Mozart: Requiem in D Minor, K. 626",2,2011,27.11.2018 0:59,Классическая музыка,17.03.2011
Зубы мудрости,3:08,Noize MC,No Comments - EP,1,2018,26.11.2018 18:23,Хип-хоп/рэп,07.11.2018
В темноте (Brodsky Version),3:27,Noize MC,No Comments - EP,19,2018,26.11.2018 18:23,Хип-хоп/рэп,07.11.2018
САХАРНЫЙ ЧЕЛОВЕК (PROD. BY SWIFTNESS2H),2:46,GONE.Fludd,СУПЕРЧУИТС,,2018,25.11.2018 18:18,Хип-хоп/рэп,27.09.2018
"Zweistimmige Invention No. 1 in C Major, BWV 772 (Arranged By Jacques Loussier)",2:22,Jacques Loussier Trio,Loussier: Swinging Bach,1,1961,25.11.2018 17:53,Джаз,01.01.1961
"Partita No. 1 in D Major, BWV 85: Minuetto I (Arranged By Jacques Loussier)",2:00,Jacques Loussier Trio,Loussier: Swinging Bach,,1960,25.11.2018 17:47,Джаз,01.01.1960
"Partita No. 1 in D Major, BWV 85: Allemande (Arranged By Jacques Loussier)",6:20,Jacques Loussier Trio,Loussier: Swinging Bach,2,1960,25.11.2018 17:45,Джаз,01.01.1960
"Toccata Und Fuge in D Major, BWV 565 (Arranged By Jacques Loussier)",8:57,Jacques Loussier Trio,Loussier: Swinging Bach,2,1996,25.11.2018 17:31,Джаз,01.01.1996
"Italienisches Konzert in F Major, BWV 971: I. Allegro (Arranged By Jacques Loussier)",5:37,Jacques Loussier Trio,Loussier: Swinging Bach,1,1996,25.11.2018 17:23,Джаз,01.01.1996
"Partita No. 1 in D Major, BWV 85: Corrente (Arranged By Jacques Loussier)",2:32,Jacques Loussier Trio,Loussier: Swinging Bach,,2014,25.11.2018 17:11,Джаз,20.02.2014
"Das Wohltemperierte Klavier, Teil 1: Präludium No. 1 in C Major, BWV 846 (Arranged By Jacques Loussier)",5:26,Jacques Loussier Trio,Loussier: Swinging Bach,,2014,25.11.2018 17:04,Джаз,20.02.2014
"The Good, the Bad, and the Ugly",2:34,California Guitar Trio,An Opening Act: On Tour With King Crimson,1,1999,25.11.2018 16:59,Рок,30.10.1999
